City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
140,Pitimbu,BR,2021-09-12 14:15:35,-7.4706,-34.8086,82.99,68,76,14.88
141,Juba,SS,2021-09-12 14:15:35,4.8517,31.5825,82.49,64,92,2.77
142,Saint George,US,2021-09-12 14:12:03,37.1041,-113.5841,77.79,37,1,1.99
143,Karratha,AU,2021-09-12 14:15:36,-20.7377,116.8463,74.07,53,0,14.05
144,Xinqing,CN,2021-09-12 14:15:36,48.2333,129.5,52.09,89,74,0.67
145,Baturaja,ID,2021-09-12 14:15:36,-4.1333,104.1667,74.64,96,97,2.19
146,Northam,GB,2021-09-12 14:15:37,51.0333,-4.2167,67.71,80,100,7.4
147,Bilma,NE,2021-09-12 14:15:37,18.6853,12.9164,105.31,9,5,9.19
148,Ayorou,NE,2021-09-12 14:15:37,14.7308,0.9174,99.5,32,75,11.3
149,Iqaluit,CA,2021-09-12 14:15:38,63.7506,-68.5145,33.53,69,75,17.27
150,Khasan,RU,2021-09-12 14:15:38,42.4308,130.6434,59.95,64,10,6.06
151,Kavieng,PG,2021-09-12 14:15:38,-2.5744,150.7967,82.87,76,37,14.52
152,North Platte,US,2021-09-12 14:15:39,41.1239,-100.7654,66.09,86,1,3.0
153,Harrison,US,2021-09-12 14:15:39,30.4091,-89.0436,81.05,85,1,9.22
154,Ilulissat,GL,2021-09-12 14:15:39,69.2167,-51.1,26.62,63,100,8.05
155,Griffith,US,2021-09-12 14:15:39,41.5284,-87.4237,76.46,73,1,3.0
156,Baishishan,CN,2021-09-12 14:15:40,43.5833,127.5667,48.13,87,3,2.62
157,Beringovskiy,RU,2021-09-12 14:15:40,63.05,179.3167,34.12,95,100,18.63
158,Yaring,TH,2021-09-12 14:15:40,6.8662,101.3689,79.07,85,83,8.9
159,Bambous Virieux,MU,2021-09-12 14:15:41,-20.3428,57.7575,71.22,83,75,18.41
160,Asau,RO,2021-09-12 14:15:41,46.4333,26.4,74.32,35,99,4.88
161,Mlonggo,ID,2021-09-12 14:15:41,-6.5333,110.7,81.84,73,97,5.35
162,Santa Rosa,PH,2021-09-12 14:15:41,14.3122,121.1114,79.11,92,100,2.08
163,Vaitape,PF,2021-09-12 14:15:42,-16.5167,-151.75,76.78,74,15,16.67
164,Monrovia,LR,2021-09-12 14:15:42,6.3005,-10.7969,80.47,74,99,9.75
165,Leh,IN,2021-09-12 14:15:42,34.1667,77.5833,60.37,38,41,6.24
166,Ilhabela,BR,2021-09-12 14:15:43,-23.7781,-45.3581,75.76,77,21,4.03
167,Pevek,RU,2021-09-12 14:12:16,69.7008,170.3133,30.18,89,100,9.57
168,Moree,AU,2021-09-12 14:15:43,-29.4667,149.85,66.22,52,77,10.36
169,Goderich,CA,2021-09-12 14:15:43,43.7501,-81.7165,68.92,73,100,3.44
170,Pacific Grove,US,2021-09-12 14:15:42,36.6177,-121.9166,60.31,95,90,1.01
171,Meadville,US,2021-09-12 14:14:14,41.6414,-80.1515,74.01,81,20,9.22
172,Chengde,CN,2021-09-12 14:15:44,40.9725,117.9361,65.5,95,99,3.27
173,Namibe,AO,2021-09-12 14:15:44,-15.1961,12.1522,73.42,74,17,11.77
174,Bloomfield,US,2021-09-12 14:14:25,40.8068,-74.1854,74.32,77,1,4.0
175,Balkanabat,TM,2021-09-12 14:15:46,39.5108,54.3671,90.32,11,0,16.64
176,Borovoy,RU,2021-09-12 14:15:46,55.4333,86.0833,43.88,93,40,6.71
177,Zhezkazgan,KZ,2021-09-12 14:15:46,47.8043,67.7144,59.5,20,8,7.65
178,Samarai,PG,2021-09-12 14:15:47,-10.6167,150.6667,78.94,89,57,14.67
179,Pundaguitan,PH,2021-09-12 14:15:47,6.3711,126.1689,81.03,75,100,0.36
180,Gigmoto,PH,2021-09-12 14:15:47,13.7796,124.39,81.46,82,100,4.94
181,Washougal,US,2021-09-12 14:14:12,45.5826,-122.3534,62.49,87,1,3.44
182,Solnechnyy,RU,2021-09-12 14:15:47,50.7214,136.6319,46.94,87,86,6.31
183,Gold Coast,AU,2021-09-12 14:13:51,-28.0,153.4333,69.39,73,0,4.0
184,Arkhangelsk,RU,2021-09-12 14:15:48,64.5401,40.5433,51.91,58,20,6.71
185,Tual,ID,2021-09-12 14:15:48,-5.6667,132.75,80.56,85,100,11.88
186,Pittsfield,US,2021-09-12 14:15:48,42.4501,-73.2454,70.0,78,90,1.99
187,Torbay,CA,2021-09-12 14:15:28,47.6666,-52.7314,66.76,68,75,16.11
188,Hovd,MN,2021-09-12 14:15:49,48.0056,91.6419,62.28,17,0,9.73
189,Hasaki,JP,2021-09-12 14:15:49,35.7333,140.8333,72.0,86,100,13.38
190,Kalulushi,ZM,2021-09-12 14:15:49,-12.8378,28.0919,83.12,20,65,3.56
191,Omsukchan,RU,2021-09-12 14:15:50,62.5333,155.8,29.35,64,94,2.55
192,Vallenar,CL,2021-09-12 14:11:24,-28.5708,-70.7581,57.96,54,0,3.6
193,Liverpool,GB,2021-09-12 14:15:28,53.4106,-2.9779,64.78,84,90,1.99
194,Vanavara,RU,2021-09-12 14:15:50,60.34,102.2797,51.67,58,100,6.06
195,Altamont,US,2021-09-12 14:15:51,42.2068,-121.7372,53.78,86,1,0.0
196,Olinda,BR,2021-09-12 14:15:51,-8.0089,-34.8553,82.13,61,75,11.5
197,Ahipara,NZ,2021-09-12 14:15:51,-35.1667,173.1667,51.24,85,4,8.16
198,Nelson Bay,AU,2021-09-12 14:15:51,-32.7167,152.15,66.09,72,13,1.99
199,Mogadishu,SO,2021-09-12 14:15:52,2.0371,45.3438,77.54,78,100,14.27
200,Neijiang,CN,2021-09-12 14:15:52,29.5835,105.0622,75.49,87,9,2.84
201,Syava,RU,2021-09-12 14:15:52,58.0146,46.3222,52.68,78,94,3.18
202,San Quintin,MX,2021-09-12 14:15:53,30.4833,-115.95,72.3,83,0,6.78
203,Sioux Lookout,CA,2021-09-12 14:15:43,50.1001,-91.917,48.58,71,90,9.22
204,Fairbanks,US,2021-09-12 14:15:53,64.8378,-147.7164,44.24,80,1,0.0
205,Saint-Philippe,RE,2021-09-12 14:15:53,-21.3585,55.7679,71.19,80,42,17.6
206,Mizdah,LY,2021-09-12 14:15:54,31.4451,12.9801,91.31,23,0,12.75
207,Kavaratti,IN,2021-09-12 14:15:54,10.5669,72.642,81.99,82,100,20.09
208,Faya,SA,2021-09-12 14:15:54,18.3851,42.4509,77.11,48,99,10.76
209,Severo-Kurilsk,RU,2021-09-12 14:15:54,50.6789,156.125,45.39,89,100,11.5
210,Vao,NC,2021-09-12 14:15:55,-22.6667,167.4833,68.32,64,72,14.12
211,Altagracia De Orituco,VE,2021-09-12 14:15:55,9.8601,-66.3814,82.92,61,91,5.19
